id,観測所名,河川名,日時,河川水位,水防団待機水位(通報水位),はん濫注意水位(警戒水位),避難判断水位(特別警戒水位),はん濫危険水位(危険水位),警報状態,geo3x3
23,下兵庫,兵庫川,2021-08-14T12:10,1.08,2.60,3.10,3.30,3.50,通常,E9138762319572
24,矢地,竹田川,2021-08-14T12:10,3.54,4.00,5.00,-,5.80,通常,E9138763469427
25,里竹田,竹田川,2021-08-14T12:10,1.49,2.50,3.00,-,4.00,通常,E9138763258353
26,六日,竹田川,2021-08-14T12:10,2.50,3.50,4.00,4.60,5.20,通常,E9138763724456
27,岩崎(金井),竹田川,2021-08-14T12:10,1.04,2.60,3.00,-,3.70,通常,E9138762494252
28,安沢橋(石塚),磯部川,2021-08-14T12:10,3.27,3.20,3.70,-,4.50,水防団待機水位超過,E9138738829374
29,平岩,竹田川,2021-08-14T12:00,1.38,3.00,3.30,-,3.90,通常,E9138841213215
30,川上,竹田川,2021-08-14T12:00,*,1.80,2.10,-,4.00,欠測,E9138841191855
31,坪江,竹田川,2021-08-14T12:00,1.42,1.90,2.20,-,2.80,通常,E9138763358989
32,石塚,竹田川,2021-08-14T12:00,2.43,3.50,4.00,-,4.60,通常,E9138763526347
43,松丸,九頭竜川,2021-08-14T12:10,2.42,3.00,4.00,-,5.00,通常,E9138821758448
45,井ノ口,真名川,2021-08-14T12:10,2.36,3.00,4.00,-,5.00,通常,E9138813918265
46,新在家,清滝川,2021-08-14T12:10,1.48,1.20,1.50,2.00,2.80,水防団待機水位超過,E9138816228653
47,大橋,赤根川,2021-08-14T12:10,2.00,1.90,2.20,2.50,3.00,水防団待機水位超過,E9138813759647
48,貝皿,石徹白川,2021-08-14T12:10,2.75,1.40,3.00,-,5.00,水防団待機水位超過,E9138588855686
49,黒当戸,真名川,2021-08-14T12:00,4.63,-,-,-,-,通常,E9138579293692
51,秋生,真名川,2021-08-14T12:00,2.20,-,-,-,-,通常,E9138584893181
62,比島,九頭竜川,2021-08-14T12:10,3.41,3.60,4.80,6.30,6.80,通常,E9138816814616
63,小舟渡,九頭竜川,2021-08-14T12:10,2.53,2.30,3.30,-,5.30,水防団待機水位超過,E9138815899151
64,砂留花橋（第３水位局）,浄土寺川,2021-08-14T12:10,1.04,-,-,-,-,通常,E9138816948595
65,長山,浄土寺川,2021-08-14T12:10,1.05,-,-,-,-,通常,E9138816883641
66,栄,浄土寺川,2021-08-14T12:10,0.35,-,-,-,-,通常,E9138816841973
74,黒津川水門（黒津川水位）,黒津川,2021-08-14T12:10,8.81,9.40,9.65,-,10.70,通常,E9138732836398
75,糺橋,日野川,2021-08-14T12:10,2.97,3.20,4.20,4.80,5.40,通常,E9138732577676
76,出作,浅水川,2021-08-14T12:10,4.89,5.00,5.50,-,7.50,通常,E9138732796181
77,松成,鞍谷川,2021-08-14T12:10,3.27,1.80,2.90,-,6.20,はん濫注意水位超過,E9138733418831
78,黒津川水門（浅水川水位）,浅水川,2021-08-14T12:10,10.67,-,-,-,-,通常,E9138732918264
79,北中,河和田川,2021-08-14T12:10,0.57,0.70,1.20,-,1.90,通常,E9138733625748
80,鳥羽,浅水川,2021-08-14T12:10,4.91,4.40,4.90,5.60,6.50,はん濫注意水位超過,E9138732863332
81,田中,和田川,2021-08-14T12:10,9.65,-,-,-,-,通常,E9138732759647
82,石田川水門（日野川水位）,日野川,2021-08-14T12:10,9.75,-,-,-,-,通常,E9138732753944
83,石田川水門（石田川水位）,石田川,2021-08-14T12:10,9.11,-,-,-,-,通常,E9138732765733
88,中平吹,日野川,2021-08-14T12:10,2.05,2.50,3.50,-,4.00,通常,E9138498282682
89,北,浅水川,2021-08-14T12:10,1.55,1.80,2.30,-,2.80,通常,E9138498996154
90,上太田,吉野瀬川,2021-08-14T12:10,2.10,2.00,2.40,2.70,3.20,水防団待機水位超過,E9138498728328
91,家久(鯖江),日野川,2021-08-14T12:00,*,2.00,2.50,-,4.00,欠測,E9138732246218
92,聖橋,日野川,2021-08-14T12:10,1.58,2.10,3.30,4.20,4.80,通常,E9138495915264
93,今庄,日野川,2021-08-14T12:10,1.29,1.30,1.80,-,2.80,通常,E9138495343875
95,二ツ屋,日野川,2021-08-14T12:10,349.76,-,-,-,-,通常,E9138493616578
96,岩谷,日野川,2021-08-14T12:10,0.61,-,-,-,-,通常,E9138493288141
97,家久（吉野瀬川）,吉野瀬川,2021-08-14T12:10,0.43,1.10,1.90,-,2.70,通常,E9138732212834
107,稲荷,足羽川,2021-08-14T12:10,2.28,2.50,2.90,3.50,3.80,通常,E9138577582959
108,粟田部,鞍谷川,2021-08-14T12:10,0.94,1.30,1.80,2.10,2.70,通常,E9138499791288
109,河内,足羽川,2021-08-14T12:10,0.45,-,-,-,-,通常,E9138575741916
110,新保,魚見川,2021-08-14T12:10,1.94,1.70,3.00,-,4.40,水防団待機水位超過,E9138577146848
111,東庄境,服部川,2021-08-14T12:10,0.92,1.10,1.50,-,2.20,通常,E9138733245894
121,宝泉寺,天王川,2021-08-14T12:10,1.80,2.00,3.00,3.50,4.20,通常,E9138731925388
122,近田橋(気比庄),和田川,2021-08-14T12:10,2.38,2.00,3.00,-,4.00,水防団待機水位超過,E9138731696938
124,江波,天王川,2021-08-14T12:10,1.05,1.00,1.40,-,2.00,水防団待機水位超過,E9138731186563
134,呉竹,笙の川,2021-08-14T12:10,1.29,1.00,1.70,2.10,2.50,水防団待機水位超過,E9138467446878
135,堂,笙の川,2021-08-14T12:10,0.43,2.00,3.00,-,4.00,通常,E9138467182622
136,野神,笙の川,2021-08-14T12:10,0.69,2.00,2.70,-,3.50,通常,E9138467412837
137,河原市,耳川,2021-08-14T12:10,1.29,1.80,2.20,3.40,3.60,通常,E9138455898495
138,鳥浜,はす川,2021-08-14T12:10,0.78,1.00,1.20,1.60,2.00,通常,E9138455413812
139,木の芽,木の芽川,2021-08-14T12:10,0.33,-,-,-,-,通常,E9138467581723
140,四石橋,井の口川,2021-08-14T12:10,0.77,1.00,1.70,2.10,2.50,通常,E9138459655352
141,三方湖,三方湖,2021-08-14T12:10,0.68,0.70,1.00,-,1.30,通常,E9138454645891
150,中井,南川,2021-08-14T12:10,1.94,1.80,3.20,-,5.10,水防団待機水位超過,E9138442328111
151,和久里,南川,2021-08-14T12:10,0.86,1.90,4.10,4.40,4.70,通常,E9138443466964
152,小倉,南川,2021-08-14T12:10,1.95,2.10,3.70,-,4.40,通常,E9138418436416
153,和多田,南川,2021-08-14T12:10,2.17,2.10,4.50,-,7.70,水防団待機水位超過,E9138418813848
154,遠敷,遠敷川,2021-08-14T12:10,2.38,2.50,3.30,3.50,4.10,通常,E9138443536661
155,本郷,佐分利川,2021-08-14T12:10,0.44,1.40,2.10,2.50,3.20,通常,E9138441296991
156,四分一,松永川,2021-08-14T12:10,1.48,1.90,2.40,-,3.30,通常,E9138443367524
157,小和田,関屋川,2021-08-14T12:10,1.89,1.60,2.20,2.50,2.80,水防団待機水位超過,E9137663453899
158,山田,大津呂川,2021-08-14T12:10,0.17,-,-,-,-,通常,E9138441327123
170,箱ヶ瀬-(国),九頭竜川,2021-08-14T12:10,552.43,-,-,-,-,通常,E9138589523974
171,山原-(国),石徹白川,2021-08-14T12:10,462.17,-,-,-,-,通常,E9138588889947
172,五条方下流-(国),真名川,2021-08-14T12:10,1.68,-,-,-,-,通常,E9138821149843
174,朝日-(国),九頭竜川,2021-08-14T12:10,2.99,-,-,-,-,通常,E9138588852742
176,石徹白-(国),石徹白川,2021-08-14T12:10,571.06,-,-,-,-,通常,E9138823423344
179,中島-(国),真名川,2021-08-14T12:10,1.84,-,-,-,-,通常,E9138579553641
180,麻生島-(国),真名川,2021-08-14T12:10,2.74,-,-,-,-,通常,E9138813869668
205,五松橋-(国),九頭竜川,2021-08-14T12:10,0.88,1.50,2.50,-,-,通常,E9138739393727
206,中角-(国),九頭竜川,2021-08-14T12:10,4.87,5.00,7.50,8.50,9.10,通常,E9138738389641
207,高屋-(国),九頭竜川,2021-08-14T12:10,4.92,3.90,5.90,-,-,水防団待機水位超過,E9138738534888
208,三尾野-(国),日野川,2021-08-14T12:10,3.97,3.50,5.50,6.50,7.00,水防団待機水位超過,E9138735139662
209,久喜津-(国),日野川,2021-08-14T12:10,5.62,5.50,7.70,-,-,水防団待機水位超過,E9138735575864
210,天神橋-(国),足羽川,2021-08-14T12:10,0.92,-,-,-,-,通常,E9138736382923
211,深谷-(国),日野川,2021-08-14T12:10,4.57,4.00,6.00,6.90,7.50,水防団待機水位超過,E9138738237558
212,布施田-(国),九頭竜川,2021-08-14T12:10,3.08,3.50,5.00,-,-,通常,E9138738766754
213,三国-(国),九頭竜川,2021-08-14T12:10,1.04,0.90,1.60,-,-,水防団待機水位超過,E9138762476242
215,天徳寺-(国),北川,2021-08-14T12:10,1.17,-,-,-,-,通常,E9138451286239
216,新道-(国),北川,2021-08-14T12:10,1.77,-,-,-,-,通常,E9138452112297
217,高塚-(国),北川,2021-08-14T12:10,4.57,5.20,6.80,7.00,7.70,通常,E9138443592468
221,西津-(国),北川,2021-08-14T12:10,0.73,-,-,-,-,通常,E9138443729596
